name,count,type
sly,19,character
sneaky,11,character
smart,8,character
cute,16,character
antisocial,1,character
red,10,physical
striped,1,physical
four-legged,1,physical
cunning,17,character
clever,8,character
deviant,1,character
evil,1,character
sharp,3,character
tricky,2,character
shrewd,1,character
untrustworthy,1,character
nimble,2,physical
fast,7,physical
devious,2,character
furry,8,physical
crafty,2,character
frisky,2,character
shifty,1,character
pointy,1,physical
wild,1,physical
greedy,1,character
beautiful,3,character
orange,12,physical
small,5,physical
loud,1,physical
territorial,1,character
deceptive,1,character
disguised,1,character
two-faced,1,character
smooth,1,physical
tailed,1,physical
cuddly,1,character
quick,4,physical
agile,1,physical
soft,2,physical
playful,1,character
mystical,2,character
scary,1,character
deceitful,1,character
cautious,1,character
silly,1,character
fluffy,4,physical
happy,1,character
squeaky,1,physical
sleazy,1,character
wily,1,character
mysterious,3,character
thieving,1,character
stealthy,1,character
snowy,1,physical
curious,1,character
ugly,1,physical
swift,1,physical
duo-toned,1,physical
teethy,1,physical
elegant,1,character
huggable,1,character
adorable,1,character
squishy,1,physical