word,value,type
red,1140,physical
old,573,physical
little,189,physical
young,141,physical
gray,155,physical
great,127,physical
bad,91,character
black,64,physical
arctic,61,physical
fuzzy,47,physical
white,46,physical
poor,44,character
dead,40,physical
frisky,32,character
smart,32,character
big,32,physical
frank,32,character
wise,30,character
long,28,physical
hungry,26,physical
sly,23,character
good,23,character
wild,22,physical
wicked,22,character
cunning,21,character
common,18,physical
fast,17,physical
large,17,physical
female,16,physical
alone,15,physical
silver,15,physical
dear,14,physical
wily,14,character
angry,14,character
mighty,13,character
clever,13,character
nice,13,character
northern,12,physical
quick,12,physical
frightened,12,character
afraid,11,character
crafty,10,character
yellow,10,physical
small,9,physical
surprised,9,character
foolish,7,character